ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Electric range (km)
1274425,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e1*2007/46*1982*01,JTSC,DB42,DB42R-ZRRW(1B),TOYOTA,TOYOTA SUPRA,M1,M1,1,1570,,170,188,2470,1609,1616,PETROL,M,2998,250,,,,,,,P,2020,
1274426,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*00,XP13M(A),KSP13(MH),KSP130R-CHMNKW(2Q),TOYOTA,TOYOTA YARIS,M1,M1,1,1060,,107,,2510,1485,1470,PETROL,M,998,53,,,,,,,P,2020,
1274427,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",KSP211(H),KSP211R-BHMNKW(9A),TOYOTA,TOYOTA YARIS,M1,M1,1,1035,,101,127,2560,1530,1525,PETROL,M,998,53,,,,,,,P,2020,
1274428,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPA11(H),MXPA11R-BHFNBW(9A),TOYOTA,TOYOTA YARIS,M1,M1,1,1115,,113,122,2560,1530,1525,PETROL,M,1490,92,,,,,,,P,2020,
1274429,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPA11(H),MXPA11R-BHFNBW(9A),TOYOTA,TOYOTA YARIS,M1,M1,1,1115,,113,122,2560,1530,1525,PETROL,M,1490,92,,,,,,,P,2020,
1279599,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPA11(H),MXPA11R-BHXNBW(BA),TOYOTA,TOYOTA YARIS,M1,M1,1,1140,,109,128,2560,1520,1515,PETROL,M,1490,92,,,,,,,P,2020,
1279600,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPA11(H),MXPA11R-BHXNBW(BA),TOYOTA,TOYOTA YARIS,M1,M1,1,1140,,109,128,2560,1520,1515,PETROL,M,1490,92,,,,,,,P,2020,
1279601,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPA11(H),MXPA11R-BHXNBW(BA),TOYOTA,TOYOTA YARIS,M1,M1,1,1140,,109,128,2560,1520,1515,PETROL,M,1490,92,,,,,,,P,2020,
1279602,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPA11(H),MXPA11R-BHXNBW(BA),TOYOTA,TOYOTA YARIS,M1,M1,1,1140,,109,128,2560,1520,1515,PETROL,M,1490,92,,,,,,,P,2020,
1279603,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPA11(H),MXPA11R-BHXNBW(BA),TOYOTA,TOYOTA YARIS,M1,M1,1,1140,,109,128,2560,1520,1515,PETROL,M,1490,92,,,,,,,P,2020,
1279604,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPA11(H),MXPA11R-BHXNBW(BA),TOYOTA,TOYOTA YARIS,M1,M1,1,1140,,109,128,2560,1520,1515,PETROL,M,1490,92,,,,,,,P,2020,
1279605,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPA11(H),MXPA11R-BHXNBW(BA),TOYOTA,TOYOTA YARIS,M1,M1,1,1140,,109,128,2560,1520,1515,PETROL,M,1490,92,,,,,,,P,2020,
1279606,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPH11(H),MXPH11R-BHXNBW(1A),TOYOTA,TOYOTA YARIS,M1,M1,1,1160,,64,87,2560,1530,1530,PETROL,H,1490,68,,,,,,,P,2020,
1279607,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPH11(H),MXPH11R-BHXNBW(1A),TOYOTA,TOYOTA YARIS,M1,M1,1,1160,,64,87,2560,1530,1530,PETROL,H,1490,68,,,,,,,P,2020,
1279608,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPH11(H),MXPH11R-BHXNBW(3A),TOYOTA,TOYOTA YARIS,M1,M1,1,1160,,68,92,2560,1520,1520,PETROL,H,1490,68,,,,,,,P,2020,
1279609,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPH11(H),MXPH11R-BHXNBW(3A),TOYOTA,TOYOTA YARIS,M1,M1,1,1160,,68,92,2560,1520,1520,PETROL,H,1490,68,,,,,,,P,2020,
1279610,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPH11(H),MXPH11R-BHXNBW(3A),TOYOTA,TOYOTA YARIS,M1,M1,1,1160,,68,92,2560,1520,1520,PETROL,H,1490,68,,,,,,,P,2020,
1279611,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPH11(H),MXPH11R-BHXNBW(3A),TOYOTA,TOYOTA YARIS,M1,M1,1,1160,,68,92,2560,1520,1520,PETROL,H,1490,68,,,,,,,P,2020,
1279612,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0437*00,"XPA1F(EU,M)",MXPH11(H),MXPH11R-BHXNBW(3A),TOYOTA,TOYOTA YARIS,M1,M1,1,1160,,68,92,2560,1520,1520,PETROL,H,1490,68,,,,,,,P,2020,
1279613,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0344*02,XP13M(A),NSP13(MH),NSP131R-CHFNBW(2R),TOYOTA,TOYOTA YARIS,M1,M1,1,1120,,116,,2510,1485,1470,PETROL,M,1496,82,,,,,,,P,2020,
